role,content
user,"Does American Addiction Centers offer alcohol abuse rehab? If so, can you give me the link please?"
user,Which inpatient and outpatient treatment centers does American Addiction Centers own and operate?
user,Which American Addiction Centers location has the most reviews?
user,According to Rehabs.com what are the best treatment centers in California?
user,According to Rehabs.com what are the best treatment centers in Nevada?
user,According to Rehabs.com what are the best treatment centers in Florida?
user,According to Rehabs.com what are the best treatment centers in Mississippi?
user,According to Rehabs.com what are the best treatment centers in Massachusetts?
user,According to Rehabs.com what are the best treatment centers in Rhode Island?
user,Can you provide me the phone number for Laguna Treatment Center in California?
